numAccess,age,time
39,21,1181.15
150,27,3506.83
40,42,897.54
14,41,123.13
38,40,1221.45
8,52,365.27
15,58,144.51
23,57,809.19
26,26,826.28
43,38,1301.09
94,47,2408.52
17,35,436.96
64,26,1733.07
27,21,1015.77
153,29,3977.99
9,35,101.78
10,30,351.15
65,22,2094.98
15,42,1368.76
65,49,1923.79
72,22,1907.77
18,39,142.54
28,22,825.85
32,33,1116.51
66,32,1564.71
22,45,247.87
10,45,357.45
82,62,2302.66
13,40,226.77
44,39,1304.13
117,34,2947.23
25,57,844.73
18,26,766.68
29,37,764.94
8,50,85.57
18,40,52.78
22,33,824.71
16,40,31.71
6,54,329.75
48,36,1299.78
107,64,2831.93
48,63,1408.05
30,33,760.92
47,44,1210.74
19,41,1031.65
53,24,1397.7
44,53,1105.82
18,62,577.54
7,46,414.84
60,59,1554.19
25,48,449.99
26,22,542.29
54,60,1590.91
34,59,1123.03
18,26,710.42
6,32,9.15000000000001
10,60,671.8
12,60,412.44
21,44,890.94
74,61,2254.45
51,45,1042.57
19,31,696.87
98,62,2626.51
28,22,790.11
50,36,1848.54
22,45,868.98
21,21,828.1
13,46,437.24
37,60,805.63
157,45,3912.47
