n_mezzi,temp,weekend,usage
201,20.04,no,78.1
196,29.74,no,83.5
162,25.49,no,59.7
186,27.91,si,74.1
181,22.38,si,73.7
196,28.25,si,81.3
152,29.77,no,63.7
194,15.96,no,82.1
171,27.26,si,58.9
152,28.63,si,57.9
194,20.42,no,69.6
153,28.92,no,64.5
192,16.34,si,82.7
150,22.77,no,42.1
167,29.39,no,69.1
190,18.86,no,66.9
160,15.7,no,47.6
213,24.25,no,95.5
151,26.86,no,49.9
179,24.87,no,66.9
189,21.02,si,68.1
188,16.52,si,64.3
209,29.33,no,99.3
199,25.5,si,82.4
209,19.27,si,85.6
174,23.59,no,57.2
199,17.16,si,73.5
190,18.54,no,69.1
202,29.19,no,81.9
199,16.44,no,68.3
181,25.64,no,72.5
166,25.88,no,70.8
150,25.63,si,51.1
214,23.71,no,84.7
175,28.66,si,68.8
208,28.56,no,92.8
194,26.08,si,69.4
194,24.03,no,72.9
193,22.39,no,80
168,29.59,no,66.7
178,24.84,si,65.5
176,15.37,no,63.7
210,18.93,si,76.3
173,15.53,no,57.2
212,22.95,no,96
165,25.73,no,50.9
162,26.65,si,56.9
161,27.03,no,61.3
158,24.27,no,49.8
176,15.44,si,54.2
164,20.35,no,54.9
154,17.72,no,50.9
195,17.04,no,62.7
202,29.59,si,81.8
203,19.3,no,74.4
159,26.39,no,62.5
157,22.06,no,53.2
214,18.16,no,88.5
199,15.35,si,82.3
205,15.11,no,76.3
160,15.57,si,50.6
182,17.12,no,70.2
190,24.24,si,72.6
184,26.85,no,75.4
196,28.85,no,84.6
166,16.11,si,44.3
171,18.55,no,49.9
167,26.72,no,62
202,18.17,no,66.9
201,27.5,no,88.7
