month	year	ndays_prec	high_prec	tot_prec	mean_prec	tdays	nao	soi
1	1961	23	TRUE	146.3	4.71935483870968	31	1.46	-0.43
1	1962	23	TRUE	194.6	6.27741935483871	31	2.44	1.72
1	1963	19	FALSE	25.1	0.809677419354839	31	-4.09	0.8
1	1964	16	FALSE	40.6	1.30967741935484	31	0.93	-0.53
1	1965	21	TRUE	149.4	4.81935483870968	31	0.01	-0.52
1	1966	21	FALSE	61.1	1.97096774193548	31	-1.01	-1.36
1	1967	21	FALSE	76.4	2.46451612903226	31	0.04	1.52
1	1968	23	FALSE	93	3	31	1.65	0.47
1	1969	27	TRUE	87	2.80645161290323	31	-1.64	-1.36
1	1970	24	FALSE	110.2	3.55483870967742	31	-1.16	-1.26
1	1971	20	TRUE	81.8	2.63870967741935	31	-0.43	0.23
1	1972	29	TRUE	130.6	4.21290322580645	31	-0.52	0.33
1	1973	20	TRUE	65.6	2.11612903225806	31	1.37	-0.43
1	1974	26	TRUE	231.8	7.47741935483871	31	3.75	2.16
1	1975	30	TRUE	220.2	7.10322580645161	31	2.43	-0.62
1	1976	23	TRUE	107.7	3.4741935483871	31	0.75	1.19
1	1977	22	TRUE	120.2	3.87741935483871	31	-2.36	-0.39
1	1978	26	TRUE	148.2	4.78064516129032	31	0.46	-0.48
1	1979	19	FALSE	71.9	2.31935483870968	31	-3.22	-0.45
1	1980	19	FALSE	87	2.80645161290323	31	-1.8	0.28
1	1981	22	FALSE	73.4	2.36774193548387	31	1	0.27
1	1982	24	TRUE	136.3	4.39677419354839	31	-0.72	0.87
1	1983	27	TRUE	175.4	5.65806451612903	31	4.82	-3.36
1	1984	28	TRUE	172.3	5.55806451612903	31	2.53	-0.03
1	1985	24	FALSE	58.5	1.88709677419355	31	-2.87	-0.55
1	1986	25	TRUE	142.3	4.59032258064516	31	1.46	0.82
1	1987	15	FALSE	46.7	1.50645161290323	31	-2.12	-0.75
1	1988	28	TRUE	178.4	5.75483870967742	31	0.53	-0.31
1	1989	22	TRUE	77.1	2.48709677419355	31	3.53	1.31
1	1990	30	TRUE	245.4	7.91612903225806	31	3.5	-0.21
1	1991	19	TRUE	140.7	4.53870967741936	31	1.87	0.45
1	1992	11	FALSE	44.1	1.42258064516129	31	0.64	-2.85
1	1993	25	TRUE	220.3	7.10645161290323	31	3.91	-0.93
1	1994	27	TRUE	156.3	5.04193548387097	31	1.28	-0.25
1	1995	28	TRUE	220.3	7.10645161290323	31	2.7	-0.51
1	1996	17	FALSE	66.9	2.15806451612903	31	-3.27	0.82
1	1997	14	FALSE	14.8	0.47741935483871	31	-1.95	0.29
1	1998	24	TRUE	167	5.38709677419355	31	-0.28	-2.53
1	1999	28	TRUE	247.1	7.97096774193548	31	0.9	1.58
1	2000	22	TRUE	139.2	4.49032258064516	31	0.35	0.47
1	2001	19	TRUE	69.1	2.22903225806452	31	0.02	0.78
1	2002	24	TRUE	165.1	5.3258064516129	31	2.31	0.2
1	2003	25	FALSE	96.2	3.10322580645161	31	0.15	-0.3
1	2004	30	TRUE	171.1	5.51935483870968	31	0.2	-1.31
1	2005	24	TRUE	218.3	7.04193548387097	31	1.82	0.2
1	2006	12	TRUE	70.4	2.27096774193548	31	-0.1	1.29
1	2007	24	TRUE	211.3	6.81612903225806	31	1.76	-0.83
1	2008	29	TRUE	245.9	7.93225806451613	31	1.85	1.54
1	2009	23	TRUE	178.5	5.75806451612903	31	0.6	0.85
1	2010	20	TRUE	57.5	1.85483870967742	31	-2.38	-1.13
1	2011	21	TRUE	136.8	4.41290322580645	31	-1.38	2.01
1	2012	22	TRUE	108.8	3.50967741935484	31	2.05	0.9
1	2013	23	TRUE	104.4	3.36774193548387	31	1.08	-0.1
1	2014	29	TRUE	199	6.41935483870968	31	0.71	1.19
1	2015	26	TRUE	173.5	5.59677419354839	31	2.81	-0.87
1	2016	27	TRUE	184	5.93548387096774	31	1.17	-2.12
1	2017	21	TRUE	61.8	1.99354838709677	31	0.17	0.08
10	1961	27	TRUE	168.6	5.43870967741935	31	1	-0.73
10	1962	14	FALSE	52.9	1.70645161290323	31	-0.34	0.95
10	1963	23	FALSE	92.8	2.99354838709677	31	2.79	-1.46
10	1964	23	TRUE	67.5	2.17741935483871	31	0.63	1.26
10	1965	12	TRUE	75.4	2.43225806451613	31	-1.26	-1.22
10	1966	23	TRUE	125.2	4.03870967741936	31	-2.89	-0.33
10	1967	30	TRUE	287	9.25806451612903	31	1.34	-0.17
10	1968	20	TRUE	175.2	5.65161290322581	31	0.03	-0.35
10	1969	17	FALSE	32.3	1.04193548387097	31	0.7	-1.35
10	1970	20	FALSE	125.4	4.04516129032258	31	0	0.74
10	1971	19	TRUE	100	3.2258064516129	31	1.63	1.75
10	1972	11	FALSE	32.2	1.03870967741935	31	-1.74	-1.13
10	1973	14	FALSE	51.5	1.66129032258065	31	-1.03	0.85
10	1974	22	FALSE	71.4	2.30322580645161	31	-1.44	0.72
10	1975	15	FALSE	53.9	1.73870967741935	31	0.39	1.67
10	1976	28	TRUE	159.4	5.14193548387097	31	-0.64	0.13
10	1977	24	TRUE	122	3.93548387096774	31	0.45	-1.39
10	1978	18	FALSE	60	1.93548387096774	31	0.02	-0.76
10	1979	24	FALSE	92.7	2.99032258064516	31	-1.95	-0.37
10	1980	22	TRUE	159	5.12903225806452	31	-0.87	-0.34
10	1981	24	TRUE	164.1	5.29354838709677	31	-1.06	-0.71
10	1982	26	TRUE	110.6	3.56774193548387	31	0.32	-2.2
10	1983	24	TRUE	163	5.25806451612903	31	2.06	0.34
10	1984	26	TRUE	137.9	4.44838709677419	31	1.66	-0.61
10	1985	12	FALSE	56	1.80645161290323	31	0.14	-0.76
10	1986	21	TRUE	133.7	4.31290322580645	31	2.27	0.54
10	1987	23	TRUE	190.1	6.13225806451613	31	-0.8	-0.69
10	1988	17	TRUE	105.5	3.40322580645161	31	-2.02	1.35
10	1989	24	TRUE	127.4	4.10967741935484	31	0.88	0.61
10	1990	24	TRUE	146.7	4.73225806451613	31	-0.59	-0.17
10	1991	19	TRUE	122.7	3.95806451612903	31	-1.77	-1.55
10	1992	20	FALSE	87.1	2.80967741935484	31	-3.33	-2.03
10	1993	13	FALSE	50.7	1.63548387096774	31	-4.13	-1.57
10	1994	19	TRUE	84	2.70967741935484	31	-1.88	-1.58
10	1995	21	TRUE	125.3	4.04193548387097	31	1.22	-0.34
10	1996	24	TRUE	111.1	3.58387096774194	31	-0.07	0.26
10	1997	11	FALSE	49.9	1.60967741935484	31	-2.26	-1.69
10	1998	27	TRUE	242.3	7.81612903225806	31	1.34	1.01
10	1999	18	TRUE	90.8	2.92903225806452	31	-0.69	0.95
10	2000	30	TRUE	223.9	7.22258064516129	31	1.37	0.87
10	2001	26	TRUE	133.4	4.30322580645161	31	0.88	-0.38
10	2002	23	TRUE	154.1	4.97096774193548	31	-1.5	-0.79
10	2003	16	FALSE	36.4	1.1741935483871	31	-3.68	-0.26
10	2004	23	TRUE	169.1	5.45483870967742	31	-2.18	-0.42
10	2005	22	TRUE	141.6	4.56774193548387	31	-0.45	1.12
10	2006	26	TRUE	139.2	4.49032258064516	31	-1.97	-1.52
10	2007	12	TRUE	55.8	1.8	31	-0.02	0.44
10	2008	24	TRUE	205.3	6.62258064516129	31	0.01	1.52
10	2009	22	FALSE	93.3	3.00967741935484	31	-1.53	-1.66
10	2010	20	TRUE	108	3.48387096774194	31	-2.41	1.8
10	2011	27	TRUE	138.9	4.48064516129032	31	1.31	0.91
10	2012	20	TRUE	115.2	3.71612903225806	31	-3.21	0.17
10	2013	27	TRUE	170.5	5.5	31	-0.36	-0.34
10	2014	28	TRUE	165.8	5.34838709677419	31	0.31	-0.86
10	2015	15	TRUE	77.3	2.49354838709677	31	-1.13	-1.91
10	2016	22	FALSE	37.9	1.22258064516129	31	-1.47	-0.66
10	2017	26	TRUE	128.9	4.15806451612903	31	1.36	0.75
11	1961	17	FALSE	70.6	2.35333333333333	30	-2.15	0.68
11	1962	19	TRUE	59.6	1.98666666666667	30	-2.23	0.27
11	1963	28	TRUE	201.2	6.70666666666667	30	-0.15	-0.93
11	1964	17	FALSE	74	2.46666666666667	30	1.33	-0.06
11	1965	20	TRUE	94.6	3.15333333333333	30	-1.78	-1.86
11	1966	26	TRUE	100.3	3.34333333333333	30	-0.07	-0.2
11	1967	21	TRUE	78.6	2.62	30	-0.91	-0.57
11	1968	18	FALSE	52.9	1.76333333333333	30	-2	-0.44
11	1969	26	TRUE	169.1	5.63666666666667	30	-1.28	-0.18
11	1970	27	TRUE	146.6	4.88666666666667	30	0.76	1.85
11	1971	22	TRUE	83.9	2.79666666666667	30	-1.46	0.55
11	1972	27	TRUE	182.7	6.09	30	0.64	-0.38
11	1973	16	FALSE	61.8	2.06	30	-0.26	2.85
11	1974	27	TRUE	177.2	5.90666666666667	30	1.27	-0.42
11	1975	20	FALSE	73.3	2.44333333333333	30	0.86	1.25
11	1976	19	TRUE	89.7	2.99	30	1.5	0.76
11	1977	23	TRUE	152.1	5.07	30	0.37	-1.56
11	1978	20	TRUE	164.7	5.49	30	3.91	-0.28
11	1979	27	TRUE	175.2	5.84	30	1.95	-0.61
11	1980	24	TRUE	161.7	5.39	30	-2.06	-0.47
11	1981	21	TRUE	162	5.4	30	1.66	0.07
11	1982	27	TRUE	203.6	6.78666666666667	30	1.71	-3.25
11	1983	10	TRUE	48.7	1.62333333333333	30	-2.28	-0.12
11	1984	26	TRUE	210.7	7.02333333333333	30	-1.16	0.12
11	1985	22	TRUE	92.8	3.09333333333333	30	-2.85	-0.35
11	1986	29	TRUE	166.1	5.53666666666667	30	3.41	-1.57
11	1987	17	TRUE	94.2	3.14	30	-0.67	-0.07
11	1988	14	FALSE	64.2	2.14	30	-1.47	1.92
11	1989	13	TRUE	79.2	2.64	30	-2.97	-0.38
11	1990	17	TRUE	61.9	2.06333333333333	30	-1.48	-0.68
11	1991	23	TRUE	175	5.83333333333333	30	1.68	-0.77
11	1992	28	TRUE	182.6	6.08666666666667	30	4.52	-0.84
11	1993	17	TRUE	50.3	1.67666666666667	30	0.77	-0.13
11	1994	23	TRUE	135.6	4.52	30	1.68	-0.81
11	1995	14	TRUE	89	2.96666666666667	30	-2.73	-0.02
11	1996	24	TRUE	129.6	4.32	30	-0.05	-0.21
11	1997	24	TRUE	95.2	3.17333333333333	30	-0.99	-1.31
