rank,discipline,yrsSincePhd,yrsService,sex,salary
Prof,B,19,18,Male,139.75
Prof,B,20,16,Male,173.2
AsstProf,B,4,3,Male,79.75
Prof,B,45,39,Male,115
Prof,B,40,41,Male,141.5
AssocProf,B,6,6,Male,97
Prof,B,30,23,Male,175
Prof,B,45,45,Male,147.765
Prof,B,21,20,Male,119.25
Prof,B,18,18,Female,129
AssocProf,B,12,8,Male,119.8
AsstProf,B,7,2,Male,79.8
AsstProf,B,1,1,Male,77.7
AsstProf,B,2,0,Male,78
Prof,B,20,18,Male,104.8
Prof,B,12,3,Male,117.15
Prof,B,19,20,Male,101
Prof,A,38,34,Male,103.45
Prof,A,37,23,Male,124.75
Prof,A,39,36,Female,137
Prof,A,31,26,Male,89.565
Prof,A,36,31,Male,102.58
Prof,A,34,30,Male,93.904
Prof,A,24,19,Male,113.068
AssocProf,A,13,8,Female,74.83
Prof,A,21,8,Male,106.294
Prof,A,35,23,Male,134.885
AsstProf,B,5,3,Male,82.379
AsstProf,B,11,0,Male,77
Prof,B,12,8,Male,118.223
Prof,B,20,4,Male,132.261
AsstProf,B,7,2,Male,79.916
Prof,B,13,9,Male,117.256
AsstProf,B,4,2,Male,80.225
AsstProf,B,4,2,Female,80.225
AsstProf,B,5,0,Female,77
Prof,B,22,21,Male,155.75
AsstProf,B,7,4,Male,86.373
Prof,B,41,31,Male,125.196
AssocProf,B,9,9,Male,100.938
Prof,B,23,2,Male,146.5
AssocProf,B,23,23,Male,93.418
Prof,B,40,27,Male,101.299
Prof,B,38,38,Male,231.545
Prof,B,19,19,Male,94.384
Prof,B,25,15,Male,114.778
Prof,B,40,28,Male,98.193
Prof,B,23,19,Female,151.768
Prof,B,25,25,Female,140.096
AsstProf,B,1,1,Male,70.768
Prof,B,28,28,Male,126.621
Prof,B,12,11,Male,108.875
AsstProf,B,11,3,Female,74.692
Prof,B,16,9,Male,106.639
AssocProf,B,12,11,Male,103.76
AssocProf,B,14,5,Male,83.9
Prof,B,23,21,Male,117.704
AssocProf,B,9,8,Male,90.215
AssocProf,B,10,9,Male,100.135
AsstProf,B,8,3,Male,75.044
AssocProf,B,9,8,Male,90.304
AsstProf,B,3,2,Male,75.243
Prof,B,33,31,Male,109.785
AssocProf,B,11,11,Female,103.613
AsstProf,B,4,3,Male,68.404
AssocProf,B,9,8,Male,100.522
Prof,B,22,12,Male,101
Prof,B,35,31,Male,99.418
Prof,B,17,17,Female,111.512
Prof,B,28,36,Male,91.412
Prof,B,17,2,Male,126.32
Prof,B,45,45,Male,146.856
Prof,B,29,19,Male,100.131
Prof,B,35,34,Male,92.391
Prof,B,28,23,Male,113.398
AsstProf,B,8,3,Male,73.266
Prof,B,17,3,Male,150.48
Prof,B,26,19,Male,193
AsstProf,B,3,1,Male,86.1
AsstProf,B,6,2,Male,84.24
Prof,B,43,28,Male,150.743
Prof,B,17,16,Male,135.585
Prof,B,22,20,Male,144.64
AsstProf,B,6,2,Male,88.825
Prof,B,17,18,Female,122.96
Prof,B,15,14,Male,132.825
Prof,B,37,37,Male,152.708
AsstProf,B,2,2,Male,88.4
Prof,B,25,25,Male,172.272
AssocProf,B,9,7,Male,107.008
AsstProf,B,10,5,Female,97.032
AssocProf,B,10,7,Male,105.128
AssocProf,B,10,7,Male,105.631
Prof,B,38,38,Male,166.024
Prof,B,21,20,Male,123.683
AsstProf,B,4,0,Male,84
AssocProf,B,17,12,Male,95.611
Prof,B,13,7,Male,129.676
Prof,B,30,14,Male,102.235
Prof,B,41,26,Male,106.689
Prof,B,42,25,Male,133.217
Prof,B,28,23,Male,126.933
Prof,B,16,5,Male,153.303
Prof,B,20,14,Female,127.512
AssocProf,A,18,10,Male,83.85
Prof,A,31,28,Male,113.543
AssocProf,A,11,8,Male,82.099
AssocProf,A,10,8,Male,82.6
AssocProf,A,15,8,Male,81.5
Prof,A,40,31,Male,131.205
Prof,A,20,16,Male,112.429
AssocProf,A,19,16,Male,82.1
AsstProf,A,3,1,Male,72.5
Prof,A,37,37,Male,104.279
Prof,A,12,0,Female,105
Prof,A,21,9,Male,120.806
Prof,A,30,29,Male,148.5
Prof,A,39,36,Male,117.515
AsstProf,A,4,1,Male,72.5
AsstProf,A,5,3,Female,73.5
Prof,A,14,14,Male,115.313
Prof,A,32,32,Male,124.309
Prof,A,24,22,Male,97.262
AssocProf,A,25,22,Female,62.884
Prof,A,24,22,Male,96.614
Prof,A,54,49,Male,78.162
Prof,A,28,26,Male,155.5
AsstProf,A,2,0,Female,72.5
Prof,A,32,30,Male,113.278
AsstProf,A,4,2,Male,73
AssocProf,A,11,9,Male,83.001
Prof,A,56,57,Male,76.84
AssocProf,A,10,8,Female,77.5
AsstProf,A,3,1,Female,72.5
Prof,A,35,25,Male,168.635
Prof,A,20,18,Male,136
Prof,A,16,14,Male,108.262
Prof,A,17,14,Male,105.668
AssocProf,A,10,7,Male,73.877
Prof,A,21,18,Male,152.664
AssocProf,A,14,8,Male,100.102
AssocProf,A,15,10,Male,81.5
Prof,A,19,11,Male,106.608
AsstProf,B,3,3,Male,89.942
Prof,B,27,27,Male,112.696
Prof,B,28,28,Male,119.015
AsstProf,B,4,4,Male,92
Prof,B,27,27,Male,156.938
Prof,B,36,26,Female,144.651
AsstProf,B,4,3,Male,95.079
Prof,B,14,12,Male,128.148
AsstProf,B,4,4,Male,92
Prof,B,21,9,Male,111.168
AssocProf,B,12,10,Female,103.994
AsstProf,B,4,0,Male,92
Prof,B,21,21,Male,118.971
AssocProf,B,12,18,Male,113.341
AsstProf,B,1,0,Male,88
AssocProf,B,6,6,Male,95.408
Prof,B,15,16,Male,137.167
AsstProf,B,2,2,Male,89.516
