Station,River,Location,Easting,Northing,Area,ALTBAR,BFI,PROPWET,SAAR,QMED,Ireland
2001,Helmsdale,Kilphedir,299850,918150,553.24,213,0.324,0.65,1117,169.704,FALSE
2002,Brora,Bruachrobie,289150,903900,423.48,259,0.351,0.59,1217,164.339,FALSE
3002,Carron,Sgodachail,249150,892150,237.14,439,0.436,0.81,1784,177.884,FALSE
3003,Oykel,Easter Turnaig,240300,900150,331.67,297,0.359,0.81,1896,354.157,FALSE
4003,Alness,Alness,265450,869600,202.38,396,0.385,0.63,1366,80.293,FALSE
4005,Meig,Glenmeanie,228650,852800,123.67,463,0.389,0.76,2145,111.347,FALSE
4006,Bran,Dosmucheran,220450,860200,117.54,351,0.333,0.83,2203,84.553,FALSE
6003,Moriston,Invermoriston,241600,817000,398.45,408,0.362,0.74,2115,312.916,FALSE
6008,Enrick,Mill of Tore,245050,829950,107.02,346,0.433,0.7,1290,41.4335,FALSE
6012,Enrick,White Bridge,239200,830150,56.2,352,0.392,0.7,1331,36.1975,FALSE
7001,Findhorn,Shenachie,282550,833550,415.59,560,0.451,0.68,1217,277.058,FALSE
7002,Findhorn,Forres,301850,858400,781.78,442,0.434,0.56,1065,356.202,FALSE
7003,Lossie,Sheriffmills,319400,862650,216.66,192,0.577,0.42,833,44.353,FALSE
7004,Nairn,Firhall,288250,855050,304.96,290,0.587,0.5,942,95.831,FALSE
7005,Divie,Dunphail,300550,848000,164.63,316,0.352,0.48,871,65.167,FALSE
7008,Nairn,Balnafoich,268550,835150,128.06,376,0.529,0.68,1035,39.246,FALSE
7010,Muckle Burn,Brodie,297950,857100,80.68,185,0.64,0.42,810,17.4525,FALSE
7011,Black Burn,Pluscarden Abbey,314450,857500,36.38,168,0.661,0.42,808,5.205,FALSE
8002,Spey,Kinrara,288100,808200,1008.91,534,0.452,0.71,1316,156.0135,FALSE
8004,Avon,Delnashaugh,318500,835200,540.75,525,0.451,0.63,1108,210.5515,FALSE
8005,Spey,Boat of Garten,294700,819200,1261.3,522,0.47,0.7,1277,170.15,FALSE
8006,Spey,Boat o Brig,331850,851800,2852.39,460,0.485,0.63,1119,506.597,FALSE
8007,Spey,Invertruim,268750,796400,401.74,518,0.411,0.75,1430,104.4,FALSE
8008,Tromie,Tromie Bridge,278900,799650,131.61,622,0.448,0.72,1436,50.652,FALSE
8009,Dulnain,Balnaan Bridge,297700,824750,272.2,461,0.498,0.68,1012,88.368,FALSE
8010,Spey,Grantown,303300,826800,1745.84,495,0.484,0.69,1194,233.616,FALSE
8011,Livet,Minmore,320150,829000,102.78,445,0.449,0.63,1001,31.67,FALSE
8013,Feshie,Feshie Bridge,285000,804700,229.63,618,0.482,0.7,1286,112.543,FALSE
9001,Deveron,Avochie,353200,846450,444.91,329,0.505,0.53,988,128.5155,FALSE
9002,Deveron,Muiresk,370550,849850,961.45,244,0.511,0.46,928,268.355,FALSE
9003,Isla,Grange,349350,850600,179.98,208,0.474,0.42,900,53.547,FALSE
9004,Bogie,Redcraig,351950,837450,182.43,297,0.567,0.53,955,31.6225,FALSE
9006,Deskford Burn,Cullen,350400,866650,47.13,141,0.549,0.43,823,21.783,FALSE
9010,Deveron,Huntly,351650,840800,225.49,384,0.435,0.55,1036,110.4285,FALSE
10001,Ythan,Ardlethen,392450,830900,457.12,111,0.614,0.42,830,50.18,FALSE
10002,Ugie,Inverugie,410100,848550,325.72,87,0.522,0.4,812,45.871,FALSE
