"opposed"	"ncit"	"year"	"biopharm"
"1"	"not-opposed"	8	1981	0
"2"	"opposed"	0	1980	1
"3"	"opposed"	0	1981	0
"4"	"not-opposed"	2	1982	0
"5"	"not-opposed"	2	1983	0
"6"	"not-opposed"	2	1980	0
"7"	"not-opposed"	0	1980	0
"8"	"not-opposed"	6	1980	0
"9"	"opposed"	2	1981	0
"10"	"opposed"	5	1981	1
"11"	"opposed"	14	1988	1
"12"	"opposed"	1	1981	0
"13"	"not-opposed"	1	1981	1
"14"	"opposed"	0	1980	0
"15"	"not-opposed"	4	1981	0
"16"	"opposed"	2	1981	0
"17"	"opposed"	5	1983	1
"18"	"opposed"	2	1981	0
"19"	"not-opposed"	0	1981	0
"20"	"opposed"	7	1982	1
"21"	"not-opposed"	3	1981	0
"22"	"opposed"	9	1985	1
"23"	"not-opposed"	0	1981	1
"24"	"not-opposed"	2	1982	0
"25"	"not-opposed"	2	1981	0
"26"	"not-opposed"	1	1980	0
"27"	"not-opposed"	0	1981	0
"28"	"not-opposed"	0	1981	0
"29"	"not-opposed"	1	1982	0
"30"	"opposed"	1	1981	0
"31"	"opposed"	0	1981	0
"32"	"not-opposed"	0	1982	0
"33"	"opposed"	1	1981	0
"34"	"opposed"	0	1983	0
"35"	"opposed"	2	1981	0
"36"	"not-opposed"	0	1981	0
"37"	"not-opposed"	1	1981	0
"38"	"not-opposed"	4	1982	0
"39"	"not-opposed"	1	1982	0
"40"	"not-opposed"	0	1981	0
"41"	"not-opposed"	0	1982	0
"42"	"opposed"	0	1981	1
"43"	"opposed"	4	1982	1
"44"	"not-opposed"	1	1980	0
"46"	"not-opposed"	1	1982	0
"47"	"not-opposed"	0	1982	0
"48"	"not-opposed"	5	1982	1
"49"	"not-opposed"	3	1982	0
"50"	"opposed"	1	1981	1
"51"	"not-opposed"	0	1982	0
"52"	"not-opposed"	1	1982	0
"53"	"not-opposed"	1	1982	0
"54"	"opposed"	0	1981	1
"55"	"opposed"	1	1981	1
"56"	"opposed"	0	1982	0
"57"	"opposed"	6	1982	1
"58"	"opposed"	1	1982	1
"59"	"not-opposed"	1	1981	0
"60"	"not-opposed"	2	1984	0
"61"	"opposed"	1	1982	0
"62"	"opposed"	1	1982	0
"63"	"not-opposed"	1	1982	0
"64"	"opposed"	3	1983	0
"65"	"not-opposed"	0	1981	0
"66"	"opposed"	3	1980	1
"67"	"not-opposed"	4	1982	0
"68"	"not-opposed"	1	1983	1
"69"	"not-opposed"	1	1981	1
"70"	"opposed"	4	1982	0
"71"	"opposed"	5	1983	1
"72"	"opposed"	0	1982	1
"73"	"not-opposed"	1	1989	0
"74"	"opposed"	1	1981	1
"75"	"opposed"	3	1985	1
"76"	"not-opposed"	3	1984	1
"77"	"not-opposed"	1	1983	0
"78"	"opposed"	13	1982	1
"79"	"opposed"	2	1981	0
"80"	"opposed"	1	1985	0
"81"	"opposed"	0	1982	0
"82"	"not-opposed"	0	1982	1
"83"	"opposed"	10	1983	1
"84"	"opposed"	0	1981	0
"85"	"opposed"	1	1983	0
"86"	"opposed"	2	1982	1
"87"	"opposed"	4	1981	1
"88"	"opposed"	1	1981	1
"89"	"not-opposed"	1	1982	0
"90"	"not-opposed"	0	1982	0
"91"	"opposed"	1	1983	0
"92"	"opposed"	4	1982	1
"93"	"opposed"	7	1983	1
"94"	"opposed"	10	1982	1
"95"	"opposed"	6	1983	0
"96"	"opposed"	1	1982	1
"97"	"opposed"	1	1984	0
"98"	"opposed"	13	1986	1
"99"	"not-opposed"	1	1982	0
"100"	"opposed"	2	1981	1
"101"	"not-opposed"	3	1982	1
"102"	"opposed"	5	1980	1
"103"	"opposed"	0	1982	0
"104"	"opposed"	0	1981	0
"105"	"opposed"	4	1982	1
"106"	"not-opposed"	0	1981	1
"107"	"opposed"	0	1983	1
"108"	"opposed"	0	1982	1
"109"	"not-opposed"	9	1983	1
"110"	"not-opposed"	0	1984	0
"111"	"opposed"	2	1982	0
"112"	"opposed"	0	1982	1
"113"	"not-opposed"	6	1982	1
"114"	"opposed"	1	1984	0
"115"	"not-opposed"	3	1982	0
"116"	"not-opposed"	4	1982	1
